   Year ParameterName    YMean YMax YMin YMedian     YStd
1  2010         OZONE 73.01630  182   26    59.5 37.94668
2  2010         PM2.5 52.22826  154   14    52.5 20.72595
3  2011         OZONE 68.35870  187   25    50.0 36.27809
4  2011         PM2.5 51.83696  100   18    52.0 16.90428
5  2012         OZONE 69.01087  206   25    58.0 35.13129
6  2012         PM2.5 50.04348   97   16    52.0 15.71357
7  2013         OZONE 53.47283  122   19    46.0 20.97850
8  2013         PM2.5 43.79891   83   15    44.0 13.45049
9  2014         OZONE 55.21739  133   22    49.0 19.34350
10 2014         PM2.5 44.59239   80   15    44.5 12.63624
