"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-01-01 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2014-01-01 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","59","2","Moderate"
"2014-01-02 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","27","1","Good"
"2014-01-02 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","92","2","Moderate"
"2014-01-03 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2014-01-03 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","29","1","Good"
"2014-01-04 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","38","1","Good"
"2014-01-04 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","55","2","Moderate"
"2014-01-05 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","35","1","Good"
"2014-01-05 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","88","2","Moderate"
"2014-01-06 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2014-01-06 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","24","1","Good"
"2014-01-07 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2014-01-07 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2014-01-08 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2014-01-08 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","51","2","Moderate"
"2014-01-09 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","27","1","Good"
"2014-01-09 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","74","2","Moderate"
"2014-01-10 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","26","1","Good"
"2014-01-10 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","76","2","Moderate"
"2014-01-11 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2014-01-11 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","56","2","Moderate"
"2014-01-12 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2014-01-12 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","49","1","Good"
"2014-01-13 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","38","1","Good"
"2014-01-13 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","56","2","Moderate"
