"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2017-01-01 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2017-01-01 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","53","2","Moderate"
"2017-01-02 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","28","1","Good"
"2017-01-02 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","56","2","Moderate"
"2017-01-03 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","24","1","Good"
"2017-01-03 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","26","1","Good"
"2017-01-04 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","32","1","Good"
"2017-01-04 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","12","1","Good"
"2017-01-05 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2017-01-05 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","21","1","Good"
"2017-01-06 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","28","1","Good"
"2017-01-06 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","34","1","Good"
"2017-01-07 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","30","1","Good"
"2017-01-07 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","59","2","Moderate"
"2017-01-08 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2017-01-08 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","33","1","Good"
"2017-01-09 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2017-01-09 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","33","1","Good"
"2017-01-10 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","35","1","Good"
"2017-01-10 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","53","2","Moderate"
"2017-01-11 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","35","1","Good"
"2017-01-11 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","40","1","Good"
"2017-01-12 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","27","1","Good"
"2017-01-12 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","44","1","Good"
"2017-01-13 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","30","1","Good"
"2017-01-13 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2017-01-14 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","28","1","Good"
"2017-01-14 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","35","1","Good"
"2017-01-15 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2017-01-15 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","62","2","Moderate"
"2017-01-16 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","19","1","Good"
"2017-01-16 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","64","2","Moderate"
"2017-01-17 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","32","1","Good"
"2017-01-17 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","80","2","Moderate"
"2017-01-18 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","19","1","Good"
"2017-01-18 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","22","1","Good"
"2017-01-19 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","24","1","Good"
"2017-01-19 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","34","1","Good"
"2017-01-20 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","29","1","Good"
"2017-01-20 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","59","2","Moderate"
"2017-01-21 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","36","1","Good"
"2017-01-21 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","50","1","Good"
"2017-01-22 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","30","1","Good"
"2017-01-22 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","34","1","Good"
"2017-01-23 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","27","1","Good"
"2017-01-23 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","10","1","Good"
