Trail,PPearson,PKendall,PSpearman,OPearson,OKendall,OSpearman
Little Bennett Reg. Pk ,-0.782289,-0.600000,-0.700000,-0.736234,-0.400000,-0.600000
Black Hill Reg. Park ,-0.644322,-0.600000,-0.800000,-0.666773,-0.800000,-0.900000
Seneca Community Pk ,0.815409,0.737865,0.820783,0.847680,0.948683,0.974679
Model Airplane Park ,-0.866519,-1.000000,-1.000000,-0.859066,-0.800000,-0.900000
Ovid Hazen Wells Park ,-0.629247,-0.400000,-0.600000,-0.500539,-0.200000,-0.300000
South Germantown Pk ,-0.606408,-0.200000,-0.500000,-0.477772,0.000000,-0.100000
Woodfield School Rd ,0.779141,0.527046,0.718185,0.663159,0.316228,0.461690
Sundown Park ,-0.211210,-0.200000,-0.200000,-0.146000,0.000000,-0.100000
Bell Bluff Road Park ,0.312635,0.400000,0.400000,0.298693,0.200000,0.300000
Rachel Carson Park ,-0.613219,-0.600000,-0.700000,-0.581460,-0.400000,-0.400000
Hoyles Mill Cons Park ,-0.537454,-0.600000,-0.700000,-0.494382,-0.400000,-0.500000
Woodstock Spec Park ,-0.669596,-0.800000,-0.900000,-0.619707,-0.600000,-0.700000
Lois Green Cons Park ,-0.806622,-0.600000,-0.800000,-0.764611,-0.400000,-0.600000
Great Seneca SVU 2 ,0.035530,0.000000,0.100000,0.152901,0.200000,0.300000
Ag. Hist. Farm Pk ,0.200646,0.000000,0.100000,0.291833,0.200000,0.300000
Pope Farm ,-0.389781,-0.200000,-0.300000,-0.475137,-0.400000,-0.400000
Meadowside ,-0.457189,-0.600000,-0.700000,-0.445185,-0.400000,-0.600000
Needwood GC ,-0.021139,-0.400000,-0.400000,-0.012311,-0.200000,-0.300000
Olney Manor ,-0.515105,-0.358569,-0.447214,-0.662830,-0.597614,-0.782624
Woodlawn ,-0.818495,-0.600000,-0.800000,-0.753182,-0.400000,-0.600000
Wheaton Reg. Park ,-0.600724,-0.600000,-0.700000,-0.634248,-0.400000,-0.600000
Maydale Park ,-0.196819,-0.400000,-0.600000,-0.020793,-0.200000,-0.200000
Columbia Park ,0.737061,0.527046,0.718185,0.622540,0.316228,0.461690
Martin Luther King Pk ,-0.255695,-0.200000,-0.300000,-0.184133,0.000000,-0.100000
Burtonsville Park ,-0.119642,-0.200000,-0.300000,-0.046517,0.000000,-0.100000
Cloverly Park ,0.126310,0.200000,0.200000,0.290036,0.400000,0.600000
Countryside Park ,-0.731725,-0.400000,-0.600000,-0.626952,-0.200000,-0.300000
Matthew Henson ,0.695287,0.200000,0.500000,0.747204,0.400000,0.600000
