"","Trail","distance","Boxes","avg","PM","Ozone"
"1","Ag. Hist. Farm Pk",8.89385694000994,34,2.11764705882353,52.22826,73.0163
"2","Ag. Hist. Farm Pk",8.89385694000994,34,2.61764705882353,50.04348,69.01087
"3","Ag. Hist. Farm Pk",8.89385694000994,31,2.06451612903226,43.79891,53.47283
"4","Ag. Hist. Farm Pk",8.89385694000994,31,2.25806451612903,44.59239,55.21739
"5","Ag. Hist. Farm Pk",8.89385694000994,32,2.1875,51.83696,68.3587
"6","Bell Bluff Road Park",14.0338315384181,4,3.5,52.22826,73.0163
"7","Bell Bluff Road Park",14.0338315384181,4,2.5,51.83696,68.3587
"8","Bell Bluff Road Park",14.0338315384181,4,1.5,50.04348,69.01087
"9","Bell Bluff Road Park",14.0338315384181,5,0,43.79891,53.47283
"10","Bell Bluff Road Park",14.0338315384181,4,4,44.59239,55.21739
"11","Black Hill Reg. Park",19.3767973555492,57,3.3859649122807,51.83696,68.3587
"12","Black Hill Reg. Park",19.3767973555492,54,3.12962962962963,52.22826,73.0163
"13","Black Hill Reg. Park",19.3767973555492,26,4.42307692307692,44.59239,55.21739
"14","Black Hill Reg. Park",19.3767973555492,52,3.30769230769231,50.04348,69.01087
"15","Black Hill Reg. Park",19.3767973555492,50,3.42,43.79891,53.47283
"16","Burtonsville Park",4.98232301137923,3,3,44.59239,55.21739
"17","Burtonsville Park",4.98232301137923,3,0.333333333333333,52.22826,73.0163
"18","Burtonsville Park",4.98232301137923,3,1.33333333333333,43.79891,53.47283
"19","Burtonsville Park",4.98232301137923,3,5,50.04348,69.01087
"20","Burtonsville Park",4.98232301137923,3,1.66666666666667,51.83696,68.3587
"21","Cloverly Park",3.21884312601631,4,0.5,51.83696,68.3587
"22","Cloverly Park",3.21884312601631,4,3.25,44.59239,55.21739
"23","Cloverly Park",3.21884312601631,4,1,43.79891,53.47283
"24","Cloverly Park",3.21884312601631,4,3.75,50.04348,69.01087
"25","Cloverly Park",3.21884312601631,4,3.5,52.22826,73.0163
"26","Columbia Park",5.5819038177798,3,3.66666666666667,51.83696,68.3587
"27","Columbia Park",5.5819038177798,3,3,52.22826,73.0163
"28","Columbia Park",5.5819038177798,3,2,44.59239,55.21739
"29","Columbia Park",5.5819038177798,3,2.66666666666667,43.79891,53.47283
"30","Columbia Park",5.5819038177798,3,2.66666666666667,50.04348,69.01087
"31","Countryside Park",4.12404335217744,9,1.33333333333333,51.83696,68.3587
"32","Countryside Park",4.12404335217744,9,3.33333333333333,50.04348,69.01087
"33","Countryside Park",4.12404335217744,9,1.55555555555556,52.22826,73.0163
"34","Countryside Park",4.12404335217744,9,3.55555555555556,44.59239,55.21739
"35","Countryside Park",4.12404335217744,9,2.88888888888889,43.79891,53.47283
"36","Great Seneca SVU 2",14.5333774322516,7,2.57142857142857,51.83696,68.3587
"37","Great Seneca SVU 2",14.5333774322516,6,4.16666666666667,44.59239,55.21739
"38","Great Seneca SVU 2",14.5333774322516,11,2.36363636363636,43.79891,53.47283
"39","Great Seneca SVU 2",14.5333774322516,7,3.85714285714286,50.04348,69.01087
"40","Great Seneca SVU 2",14.5333774322516,7,3.57142857142857,52.22826,73.0163
"41","Hoyles Mill Cons Park",21.5434849537511,2,5,44.59239,55.21739
"42","Hoyles Mill Cons Park",21.5434849537511,7,1.85714285714286,52.22826,73.0163
"43","Hoyles Mill Cons Park",21.5434849537511,5,2.2,43.79891,53.47283
"44","Hoyles Mill Cons Park",21.5434849537511,5,3.2,50.04348,69.01087
"45","Hoyles Mill Cons Park",21.5434849537511,5,2,51.83696,68.3587
"46","Little Bennett Reg. Pk",19.724301267645,71,3.76056338028169,52.22826,73.0163
"47","Little Bennett Reg. Pk",19.724301267645,39,5.97435897435897,43.79891,53.47283
"48","Little Bennett Reg. Pk",19.724301267645,59,4.03389830508475,44.59239,55.21739
"49","Little Bennett Reg. Pk",19.724301267645,68,3.07352941176471,51.83696,68.3587
"50","Little Bennett Reg. Pk",19.724301267645,70,3.7,50.04348,69.01087
"51","Lois Green Cons Park",11.2789965518478,6,3.83333333333333,44.59239,55.21739
"52","Lois Green Cons Park",11.2789965518478,18,0.888888888888889,51.83696,68.3587
"53","Lois Green Cons Park",11.2789965518478,19,2.10526315789474,43.79891,53.47283
"54","Lois Green Cons Park",11.2789965518478,19,1.89473684210526,50.04348,69.01087
"55","Lois Green Cons Park",11.2789965518478,19,0.894736842105263,52.22826,73.0163
"56","Martin Luther King Pk",2.89473378651647,10,1.2,44.59239,55.21739
"57","Martin Luther King Pk",2.89473378651647,12,1.91666666666667,50.04348,69.01087
"58","Martin Luther King Pk",2.89473378651647,12,1.41666666666667,51.83696,68.3587
"59","Martin Luther King Pk",2.89473378651647,11,2.54545454545455,43.79891,53.47283
"60","Martin Luther King Pk",2.89473378651647,12,1.83333333333333,52.22826,73.0163
"61","Matthew Henson",3.47055111526193,8,3.375,50.04348,69.01087
"62","Matthew Henson",3.47055111526193,17,1.17647058823529,43.79891,53.47283
"63","Matthew Henson",3.47055111526193,7,2,52.22826,73.0163
"64","Matthew Henson",3.47055111526193,7,2.28571428571429,51.83696,68.3587
"65","Matthew Henson",3.47055111526193,7,1.14285714285714,44.59239,55.21739
"66","Maydale Park",4.02843665538129,3,3.33333333333333,43.79891,53.47283
"67","Maydale Park",4.02843665538129,3,5.33333333333333,50.04348,69.01087
"68","Maydale Park",4.02843665538129,3,1.33333333333333,51.83696,68.3587
"69","Maydale Park",4.02843665538129,4,3.25,44.59239,55.21739
"70","Maydale Park",4.02843665538129,3,3,52.22826,73.0163
"71","Meadowside",7.1234299717763,32,1.53125,52.22826,73.0163
"72","Meadowside",7.1234299717763,27,3,43.79891,53.47283
"73","Meadowside",7.1234299717763,27,2.2962962962963,50.04348,69.01087
"74","Meadowside",7.1234299717763,14,1.92857142857143,51.83696,68.3587
"75","Meadowside",7.1234299717763,27,1.55555555555556,44.59239,55.21739
"76","Model Airplane Park",22.5128236976258,17,2.05882352941176,51.83696,68.3587
"77","Model Airplane Park",22.5128236976258,7,1.85714285714286,52.22826,73.0163
"78","Model Airplane Park",22.5128236976258,7,2.57142857142857,44.59239,55.21739
"79","Model Airplane Park",22.5128236976258,7,2.28571428571429,50.04348,69.01087
"80","Model Airplane Park",22.5128236976258,7,3.71428571428571,43.79891,53.47283
"81","Needwood GC",9.24631395387235,27,3.55555555555556,50.04348,69.01087
"82","Needwood GC",9.24631395387235,27,3.11111111111111,51.83696,68.3587
"83","Needwood GC",9.24631395387235,27,2.51851851851852,52.22826,73.0163
"84","Needwood GC",9.24631395387235,27,2.11111111111111,44.59239,55.21739
"85","Needwood GC",9.24631395387235,27,3.66666666666667,43.79891,53.47283
"86","Olney Manor",5.07967964247267,6,2.16666666666667,50.04348,69.01087
"87","Olney Manor",5.07967964247267,3,4.33333333333333,44.59239,55.21739
"88","Olney Manor",5.07967964247267,3,4.33333333333333,43.79891,53.47283
"89","Olney Manor",5.07967964247267,4,3,52.22826,73.0163
"90","Olney Manor",5.07967964247267,3,4.33333333333333,51.83696,68.3587
"91","Ovid Hazen Wells Park",17.3015923144832,15,3.66666666666667,44.59239,55.21739
"92","Ovid Hazen Wells Park",17.3015923144832,30,1.33333333333333,51.83696,68.3587
"93","Ovid Hazen Wells Park",17.3015923144832,22,2.95454545454545,50.04348,69.01087
"94","Ovid Hazen Wells Park",17.3015923144832,21,2.33333333333333,52.22826,73.0163
"95","Ovid Hazen Wells Park",17.3015923144832,23,2.56521739130435,43.79891,53.47283
"96","Pope Farm",9.96251255395708,25,2.76,51.83696,68.3587
"97","Pope Farm",9.96251255395708,34,2.47058823529412,43.79891,53.47283
"98","Pope Farm",9.96251255395708,25,2.84,44.59239,55.21739
"99","Pope Farm",9.96251255395708,30,1.93333333333333,52.22826,73.0163
"100","Pope Farm",9.96251255395708,34,2.61764705882353,50.04348,69.01087
"101","Rachel Carson Park",6.89209188618135,11,3.63636363636364,44.59239,55.21739
"102","Rachel Carson Park",6.89209188618135,16,3.8125,43.79891,53.47283
"103","Rachel Carson Park",6.89209188618135,16,4,50.04348,69.01087
"104","Rachel Carson Park",6.89209188618135,16,2.5,52.22826,73.0163
"105","Rachel Carson Park",6.89209188618135,18,3.22222222222222,51.83696,68.3587
"106","Seneca Community Pk",15.9484071331115,6,3.5,51.83696,68.3587
"107","Seneca Community Pk",15.9484071331115,6,4,52.22826,73.0163
"108","Seneca Community Pk",15.9484071331115,5,3,44.59239,55.21739
"109","Seneca Community Pk",15.9484071331115,5,1,43.79891,53.47283
"110","Seneca Community Pk",15.9484071331115,6,4,50.04348,69.01087
"111","South Germantown Pk",20.556364414407,22,4.13636363636364,50.04348,69.01087
"112","South Germantown Pk",20.556364414407,25,2.92,51.83696,68.3587
"113","South Germantown Pk",20.556364414407,11,4,44.59239,55.21739
